Vivienda,Salud,Transporte,Educacion,Alimento,Autocuidado,Ingreso_fijo,Clase,id,Fecha,Gasto_var_necesario,Gasto_var_innecesario,Ingreso_variable,Total Out,Total In,Balance
3560,2822,1859,925,6087,2668,31016,Media-Alta,45,2021-01-31,409,781,7880,19111,38896,19785
3701,2901,1918,1315,5504,2570,29089,Media-Alta,46,2021-01-31,520,717,8288,19146,37377,18231
2454,1544,1067,488,4398,1461,15571,Media-Baja,47,2021-01-31,275,503,4524,12190,20095,7905
2371,1468,1126,542,4135,1152,15088,Media-Baja,48,2021-01-31,251,566,4538,11611,19626,8015
2794,1790,826,422,5371,1557,16358,Media-Baja,49,2021-01-31,283,561,5769,13604,22127,8523
2757,1842,913,498,5188,1304,17385,Media-Baja,50,2021-01-31,246,493,6094,13241,23479,10238
1362,770,318,201,3490,598,9308,Baja,51,2021-01-31,170,185,914,7094,10222,3128
3869,3137,1949,889,5027,2617,34780,Media-Alta,52,2021-01-31,606,781,6975,18875,41755,22880
1350,877,350,183,3540,667,8648,Baja,53,2021-01-31,175,151,865,7293,9513,2220
4301,2797,2272,1134,7122,2251,31540,Media-Alta,54,2021-01-31,563,742,7810,21182,39350,18168
2674,1599,982,554,4062,1356,17288,Media-Baja,55,2021-01-31,272,482,4430,11981,21718,9737
1366,699,355,242,3669,630,8786,Baja,56,2021-01-31,179,171,857,7311,9643,2332
2642,1774,1078,447,4293,1034,15264,Media-Baja,57,2021-01-31,262,589,4694,12119,19958,7839
2437,1934,986,508,4766,1313,17038,Media-Baja,58,2021-01-31,284,525,4841,12753,21879,9126
3267,2609,2148,976,5103,2623,32994,Media-Alta,59,2021-01-31,513,903,6842,18142,39836,21694
2574,1528,1082,705,4757,1243,15421,Media-Baja,60,2021-01-31,268,488,4661,12645,20082,7437
2119,1599,1270,629,4631,1189,14745,Media-Baja,61,2021-01-31,274,536,5023,12247,19768,7521
3500,3109,2018,1132,5955,2431,27324,Media-Alta,62,2021-01-31,535,906,7031,19586,34355,14769
2619,1633,1098,536,5503,1370,14914,Media-Baja,63,2021-01-31,270,475,5080,13504,19994,6490
3811,2759,1797,946,5372,2835,25283,Media-Alta,64,2021-01-31,566,904,8350,18990,33633,14643
4831,2950,2476,998,7017,2081,32381,Media-Alta,65,2021-01-31,459,776,8323,21588,40704,19116
3528,3125,2062,1045,5080,2916,32663,Media-Alta,66,2021-01-31,613,862,8256,19231,40919,21688
4468,3298,2329,1094,6458,2392,29526,Media-Alta,67,2021-01-31,514,774,7388,21327,36914,15587
1275,751,349,213,4145,668,9537,Baja,69,2021-01-31,137,149,838,7687,10375,2688
2605,1808,1173,523,4418,1480,13851,Media-Baja,70,2021-01-31,287,474,5150,12768,19001,6233
5383,4079,3325,2073,8012,3521,66571,Alta,71,2021-01-31,5338,5104,17300,36835,83871,47036
1322,910,350,217,3524,668,8937,Baja,72,2021-01-31,166,171,754,7328,9691,2363
1438,774,444,219,3916,636,8798,Baja,73,2021-01-31,123,155,819,7705,9617,1912
2509,1434,1130,537,4675,906,15028,Media-Baja,74,2021-01-31,294,494,5054,11979,20082,8103
4201,2299,2235,855,6102,2875,29600,Media-Alta,75,2021-01-31,581,748,8032,19896,37632,17736
2811,1675,1043,481,4338,1127,15080,Media-Baja,76,2021-01-31,288,528,5418,12291,20498,8207
2698,1568,1036,537,5275,1484,14625,Media-Baja,77,2021-01-31,258,520,6159,13376,20784,7408
3529,3222,2294,960,6126,2483,29729,Media-Alta,79,2021-01-31,529,808,8346,19951,38075,18124
4077,2667,1800,1223,5065,2455,34261,Media-Alta,80,2021-01-31,508,732,7683,18527,41944,23417
2625,1623,1011,462,4738,1358,17245,Media-Baja,81,2021-01-31,201,531,5574,12549,22819,10270
1147,912,374,233,3674,542,9345,Baja,82,2021-01-31,141,177,786,7200,10131,2931
1401,879,424,220,3060,574,8726,Baja,83,2021-01-31,161,137,815,6856,9541,2685
2613,1445,1089,516,4807,1383,14850,Media-Baja,84,2021-01-31,261,481,4863,12595,19713,7118
1248,785,458,204,3720,740,7952,Baja,85,2021-01-31,146,162,716,7463,8668,1205
1382,601,343,195,3947,718,8352,Baja,86,2021-01-31,140,152,793,7478,9145,1667
3115,1525,1011,517,4691,1400,13794,Media-Baja,87,2021-01-31,259,457,5126,12975,18920,5945
2418,1828,1031,458,5499,1305,14801,Media-Baja,88,2021-01-31,261,562,5470,13362,20271,6909
1182,916,330,212,3390,774,8566,Baja,89,2021-01-31,159,178,928,7141,9494,2353
1227,850,336,239,3517,594,7123,Baja,90,2021-01-31,140,146,845,7049,7968,919
2713,1284,1133,521,4850,1052,15013,Media-Baja,91,2021-01-31,265,550,5056,12368,20069,7701
3646,3031,2443,1236,5828,2713,32098,Media-Alta,92,2021-01-31,524,820,9173,20241,41271,21030
2661,1751,1067,593,5832,1291,15407,Media-Baja,93,2021-01-31,223,531,5287,13949,20694,6745
2543,1592,1205,562,4708,1380,14248,Media-Baja,94,2021-01-31,261,563,4900,12814,19148,6334
3387,1513,1048,572,4847,1557,18280,Media-Baja,95,2021-01-31,264,492,4477,13680,22757,9077
1447,815,381,238,4107,702,8531,Baja,96,2021-01-31,179,153,849,8022,9380,1358
2731,1596,1192,449,3892,1284,14892,Media-Baja,97,2021-01-31,260,563,4859,11967,19751,7784
1215,744,361,184,3250,589,8999,Baja,98,2021-01-31,196,164,734,6703,9733,3030
2800,1486,1010,520,4983,1310,15614,Media-Baja,99,2021-01-31,274,524,5228,12907,20842,7935
3938,2823,1912,1062,6030,2502,25359,Media-Alta,0,2021-02-28,553,813,7912,19633,33271,13638
1177,850,407,178,3681,599,7369,Baja,1,2021-02-28,164,122,820,7178,8189,1011
2762,1367,874,549,4999,1222,14472,Media-Baja,2,2021-02-28,201,561,4317,12535,18789,6254
4218,2637,2255,1067,4744,2997,32933,Media-Alta,3,2021-02-28,581,722,6080,19221,39013,19792
1353,832,315,177,3263,602,10001,Baja,4,2021-02-28,158,121,746,6821,10747,3926
2742,1703,1077,501,4275,1281,15266,Media-Baja,5,2021-02-28,266,555,4451,12400,19717,7317
2463,1537,948,460,4937,1662,15962,Media-Baja,6,2021-02-28,253,516,4790,12776,20752,7976
4566,3971,2975,2247,8661,4616,85505,Alta,7,2021-02-28,5035,5104,20169,37175,105674,68499
4313,2617,2576,1113,7631,2710,32806,Media-Alta,8,2021-02-28,520,850,8744,22330,41550,19220
4562,3289,3268,2041,8368,4501,78258,Alta,9,2021-02-28,5469,4682,16916,36180,95174,58994
2656,1474,1217,595,5264,1342,17341,Media-Baja,10,2021-02-28,251,543,4734,13342,22075,8733
2320,1591,1205,493,5107,1366,14769,Media-Baja,11,2021-02-28,249,558,5716,12889,20485,7596
2923,1598,1077,613,5352,1400,16037,Media-Baja,12,2021-02-28,270,562,5451,13795,21488,7693
3962,3452,2242,1040,5499,2692,34648,Media-Alta,13,2021-02-28,536,764,6413,20187,41061,20874
2758,1620,964,483,5443,1331,13798,Media-Baja,14,2021-02-28,221,523,4516,13343,18314,4971
1387,598,400,201,4083,640,7498,Baja,15,2021-02-28,132,159,965,7600,8463,863
2419,1539,1132,595,5454,1373,14536,Media-Baja,16,2021-02-28,268,573,5109,13353,19645,6292
2757,1632,956,549,4540,1163,15721,Media-Baja,17,2021-02-28,257,520,5210,12374,20931,8557
2968,1439,904,472,4277,1124,17686,Media-Baja,18,2021-02-28,250,524,5392,11958,23078,11120
2870,1481,997,519,5495,1330,15661,Media-Baja,19,2021-02-28,240,458,5100,13390,20761,7371
2569,1418,866,534,4700,1306,17834,Media-Baja,20,2021-02-28,253,492,5535,12138,23369,11231
3773,2857,2062,1198,5716,2976,29428,Media-Alta,21,2021-02-28,549,643,9374,19774,38802,19028
4671,3760,2101,981,4895,3309,35835,Media-Alta,22,2021-02-28,508,780,7871,21005,43706,22701
2349,1422,1080,517,4728,1652,17283,Media-Baja,23,2021-02-28,279,518,5489,12545,22772,10227
1422,839,378,172,3228,557,8645,Baja,24,2021-02-28,136,152,966,6884,9611,2727
5760,4674,3894,1650,9416,4934,63611,Alta,25,2021-02-28,4899,5094,18518,40321,82129,41808
4231,3154,2447,1216,5928,2747,28664,Media-Alta,26,2021-02-28,480,770,7965,20973,36629,15656
1434,819,367,228,3180,653,8211,Baja,27,2021-02-28,183,161,828,7025,9039,2014
4105,2896,2025,1008,5877,2812,39154,Media-Alta,28,2021-02-28,531,750,8925,20004,48079,28075
1208,719,362,229,3775,698,8956,Baja,29,2021-02-28,158,183,895,7332,9851,2519
2515,1481,1088,449,4106,1535,16394,Media-Baja,30,2021-02-28,217,559,4116,11950,20510,8560
3447,3674,2005,1161,6343,2584,29260,Media-Alta,31,2021-02-28,575,908,7821,20697,37081,16384
1510,843,374,239,3985,538,8152,Baja,32,2021-02-28,189,137,805,7815,8957,1142
5644,4590,3104,1778,9087,4464,62916,Alta,33,2021-02-28,5103,4517,19065,38287,81981,43694
2258,1619,1031,512,3481,1029,16992,Media-Baja,34,2021-02-28,269,469,5751,10668,22743,12075
2596,1738,1092,469,4689,1026,15532,Media-Baja,35,2021-02-28,234,447,6201,12291,21733,9442
2584,1573,851,567,3749,1280,15776,Media-Baja,36,2021-02-28,221,568,5081,11393,20857,9464
2574,1329,1096,605,4581,1325,16039,Media-Baja,37,2021-02-28,234,620,5701,12364,21740,9376
2235,1696,944,445,5230,1375,15525,Media-Baja,38,2021-02-28,247,532,5379,12704,20904,8200
6469,4438,3060,2021,8398,3940,78138,Alta,39,2021-02-28,5131,4912,17437,38369,95575,57206
4872,3264,3683,1755,9347,4370,73689,Alta,40,2021-02-28,4622,4113,20001,36026,93690,57664
5394,4188,3044,1983,10734,4194,70688,Alta,41,2021-02-28,5114,5442,16953,40093,87641,47548
4068,2632,2089,1223,5420,2404,31329,Media-Alta,42,2021-02-28,562,865,8081,19263,39410,20147
5719,4194,3214,1952,7794,3907,83368,Alta,43,2021-02-28,5248,4775,18904,36803,102272,65469
6560,4479,4072,1681,8863,4387,68702,Alta,44,2021-02-28,3711,4994,16099,38747,84801,46054
3560,2822,1859,925,6087,2668,31016,Media-Alta,45,2021-02-28,495,795,8655,19211,39671,20460
3701,2901,1918,1315,5504,2570,29089,Media-Alta,46,2021-02-28,544,1058,8941,19511,38030,18519
2454,1544,1067,488,4398,1461,15571,Media-Baja,47,2021-02-28,267,514,4135,12193,19706,7513
2371,1468,1126,542,4135,1152,15088,Media-Baja,48,2021-02-28,267,562,4360,11623,19448,7825
2794,1790,826,422,5371,1557,16358,Media-Baja,49,2021-02-28,246,532,5269,13538,21627,8089
2757,1842,913,498,5188,1304,17385,Media-Baja,50,2021-02-28,271,564,5044,13337,22429,9092
1362,770,318,201,3490,598,9308,Baja,51,2021-02-28,168,177,876,7084,10184,3100
3869,3137,1949,889,5027,2617,34780,Media-Alta,52,2021-02-28,523,725,7882,18736,42662,23926
1350,877,350,183,3540,667,8648,Baja,53,2021-02-28,168,132,695,7267,9343,2076
4301,2797,2272,1134,7122,2251,31540,Media-Alta,54,2021-02-28,555,912,7588,21344,39128,17784
2674,1599,982,554,4062,1356,17288,Media-Baja,55,2021-02-28,242,543,3997,12012,21285,9273
1366,699,355,242,3669,630,8786,Baja,56,2021-02-28,199,176,971,7336,9757,2421
2642,1774,1078,447,4293,1034,15264,Media-Baja,57,2021-02-28,251,575,4539,12094,19803,7709
2437,1934,986,508,4766,1313,17038,Media-Baja,58,2021-02-28,246,551,5395,12741,22433,9692
3267,2609,2148,976,5103,2623,32994,Media-Alta,59,2021-02-28,495,768,8157,17989,41151,23162
2574,1528,1082,705,4757,1243,15421,Media-Baja,60,2021-02-28,274,575,4378,12738,19799,7061
2119,1599,1270,629,4631,1189,14745,Media-Baja,61,2021-02-28,241,598,5021,12276,19766,7490
3500,3109,2018,1132,5955,2431,27324,Media-Alta,62,2021-02-28,550,823,9595,19518,36919,17401
2619,1633,1098,536,5503,1370,14914,Media-Baja,63,2021-02-28,254,514,5486,13527,20400,6873
3811,2759,1797,946,5372,2835,25283,Media-Alta,64,2021-02-28,488,717,7539,18725,32822,14097
4831,2950,2476,998,7017,2081,32381,Media-Alta,65,2021-02-28,538,906,8140,21797,40521,18724
3528,3125,2062,1045,5080,2916,32663,Media-Alta,66,2021-02-28,574,763,8979,19093,41642,22549
4468,3298,2329,1094,6458,2392,29526,Media-Alta,67,2021-02-28,498,901,7196,21438,36722,15284
1275,751,349,213,4145,668,9537,Baja,69,2021-02-28,136,154,831,7691,10368,2677
2605,1808,1173,523,4418,1480,13851,Media-Baja,70,2021-02-28,243,498,4906,12748,18757,6009
5383,4079,3325,2073,8012,3521,66571,Alta,71,2021-02-28,4715,4839,16647,35947,83218,47271
1322,910,350,217,3524,668,8937,Baja,72,2021-02-28,184,145,869,7320,9806,2486
1438,774,444,219,3916,636,8798,Baja,73,2021-02-28,144,157,971,7728,9769,2041
2509,1434,1130,537,4675,906,15028,Media-Baja,74,2021-02-28,283,548,4618,12022,19646,7624
4201,2299,2235,855,6102,2875,29600,Media-Alta,75,2021-02-28,462,877,8512,19906,38112,18206
2811,1675,1043,481,4338,1127,15080,Media-Baja,76,2021-02-28,217,474,4459,12166,19539,7373
2698,1568,1036,537,5275,1484,14625,Media-Baja,77,2021-02-28,285,552,5355,13435,19980,6545
3529,3222,2294,960,6126,2483,29729,Media-Alta,79,2021-02-28,506,845,7328,19965,37057,17092
4077,2667,1800,1223,5065,2455,34261,Media-Alta,80,2021-02-28,567,849,9362,18703,43623,24920
2625,1623,1011,462,4738,1358,17245,Media-Baja,81,2021-02-28,256,518,5108,12591,22353,9762
1147,912,374,233,3674,542,9345,Baja,82,2021-02-28,189,146,744,7217,10089,2872
1401,879,424,220,3060,574,8726,Baja,83,2021-02-28,157,171,951,6886,9677,2791
2613,1445,1089,516,4807,1383,14850,Media-Baja,84,2021-02-28,248,570,5251,12671,20101,7430
1248,785,458,204,3720,740,7952,Baja,85,2021-02-28,138,168,825,7461,8777,1316
1382,601,343,195,3947,718,8352,Baja,86,2021-02-28,175,158,891,7519,9243,1724
3115,1525,1011,517,4691,1400,13794,Media-Baja,87,2021-02-28,277,533,5058,13069,18852,5783
2418,1828,1031,458,5499,1305,14801,Media-Baja,88,2021-02-28,289,511,4493,13339,19294,5955
1182,916,330,212,3390,774,8566,Baja,89,2021-02-28,164,153,836,7121,9402,2281
1227,850,336,239,3517,594,7123,Baja,90,2021-02-28,144,139,802,7046,7925,879
2713,1284,1133,521,4850,1052,15013,Media-Baja,91,2021-02-28,267,544,5201,12364,20214,7850
3646,3031,2443,1236,5828,2713,32098,Media-Alta,92,2021-02-28,549,877,7609,20323,39707,19384
2661,1751,1067,593,5832,1291,15407,Media-Baja,93,2021-02-28,246,441,4600,13882,20007,6125
2543,1592,1205,562,4708,1380,14248,Media-Baja,94,2021-02-28,267,508,4420,12765,18668,5903
3387,1513,1048,572,4847,1557,18280,Media-Baja,95,2021-02-28,277,515,3774,13716,22054,8338
1447,815,381,238,4107,702,8531,Baja,96,2021-02-28,175,146,930,8011,9461,1450
2731,1596,1192,449,3892,1284,14892,Media-Baja,97,2021-02-28,294,513,5239,11951,20131,8180
1215,744,361,184,3250,589,8999,Baja,98,2021-02-28,154,177,801,6674,9800,3126
2800,1486,1010,520,4983,1310,15614,Media-Baja,99,2021-02-28,252,500,5089,12861,20703,7842
3938,2823,1912,1062,6030,2502,25359,Media-Alta,0,2021-03-31,515,725,7870,19507,33229,13722
1177,850,407,178,3681,599,7369,Baja,1,2021-03-31,158,135,802,7185,8171,986
2762,1367,874,549,4999,1222,14472,Media-Baja,2,2021-03-31,239,595,5443,12607,19915,7308
4218,2637,2255,1067,4744,2997,32933,Media-Alta,3,2021-03-31,498,748,9162,19164,42095,22931
1353,832,315,177,3263,602,10001,Baja,4,2021-03-31,143,166,937,6851,10938,4087
2742,1703,1077,501,4275,1281,15266,Media-Baja,5,2021-03-31,308,526,4414,12413,19680,7267
2463,1537,948,460,4937,1662,15962,Media-Baja,6,2021-03-31,310,492,5381,12809,21343,8534
4566,3971,2975,2247,8661,4616,85505,Alta,7,2021-03-31,5275,4609,16213,36920,101718,64798
4313,2617,2576,1113,7631,2710,32806,Media-Alta,8,2021-03-31,496,830,7644,22286,40450,18164
4562,3289,3268,2041,8368,4501,78258,Alta,9,2021-03-31,5459,4424,18742,35912,97000,61088
2656,1474,1217,595,5264,1342,17341,Media-Baja,10,2021-03-31,244,480,4363,13272,21704,8432
2320,1591,1205,493,5107,1366,14769,Media-Baja,11,2021-03-31,311,435,4624,12828,19393,6565
2923,1598,1077,613,5352,1400,16037,Media-Baja,12,2021-03-31,288,416,5266,13667,21303,7636
3962,3452,2242,1040,5499,2692,34648,Media-Alta,13,2021-03-31,567,733,8091,20187,42739,22552
2758,1620,964,483,5443,1331,13798,Media-Baja,14,2021-03-31,234,550,5090,13383,18888,5505
1387,598,400,201,4083,640,7498,Baja,15,2021-03-31,172,172,955,7653,8453,800
2419,1539,1132,595,5454,1373,14536,Media-Baja,16,2021-03-31,256,499,4663,13267,19199,5932
2757,1632,956,549,4540,1163,15721,Media-Baja,17,2021-03-31,272,497,4338,12366,20059,7693
2968,1439,904,472,4277,1124,17686,Media-Baja,18,2021-03-31,249,522,5117,11955,22803,10848
2870,1481,997,519,5495,1330,15661,Media-Baja,19,2021-03-31,195,574,5085,13461,20746,7285
2569,1418,866,534,4700,1306,17834,Media-Baja,20,2021-03-31,299,553,5645,12245,23479,11234
3773,2857,2062,1198,5716,2976,29428,Media-Alta,21,2021-03-31,392,616,8115,19590,37543,17953
4671,3760,2101,981,4895,3309,35835,Media-Alta,22,2021-03-31,462,785,7590,20964,43425,22461
2349,1422,1080,517,4728,1652,17283,Media-Baja,23,2021-03-31,256,675,4929,12679,22212,9533
1422,839,378,172,3228,557,8645,Baja,24,2021-03-31,132,157,755,6885,9400,2515
5760,4674,3894,1650,9416,4934,63611,Alta,25,2021-03-31,5427,4281,17305,40036,80916,40880
4231,3154,2447,1216,5928,2747,28664,Media-Alta,26,2021-03-31,484,819,6857,21026,35521,14495
1434,819,367,228,3180,653,8211,Baja,27,2021-03-31,147,182,875,7010,9086,2076
4105,2896,2025,1008,5877,2812,39154,Media-Alta,28,2021-03-31,495,700,8821,19918,47975,28057
1208,719,362,229,3775,698,8956,Baja,29,2021-03-31,161,163,956,7315,9912,2597
2515,1481,1088,449,4106,1535,16394,Media-Baja,30,2021-03-31,278,505,5958,11957,22352,10395
3447,3674,2005,1161,6343,2584,29260,Media-Alta,31,2021-03-31,552,805,8654,20571,37914,17343
1510,843,374,239,3985,538,8152,Baja,32,2021-03-31,151,137,802,7777,8954,1177
5644,4590,3104,1778,9087,4464,62916,Alta,33,2021-03-31,4960,4485,19589,38112,82505,44393
2258,1619,1031,512,3481,1029,16992,Media-Baja,34,2021-03-31,247,557,4465,10734,21457,10723
2596,1738,1092,469,4689,1026,15532,Media-Baja,35,2021-03-31,262,526,4543,12398,20075,7677
2584,1573,851,567,3749,1280,15776,Media-Baja,36,2021-03-31,237,437,5213,11278,20989,9711
2574,1329,1096,605,4581,1325,16039,Media-Baja,37,2021-03-31,236,506,5784,12252,21823,9571
2235,1696,944,445,5230,1375,15525,Media-Baja,38,2021-03-31,258,550,5157,12733,20682,7949
6469,4438,3060,2021,8398,3940,78138,Alta,39,2021-03-31,5111,5081,18806,38518,96944,58426
4872,3264,3683,1755,9347,4370,73689,Alta,40,2021-03-31,5177,4660,16661,37128,90350,53222
5394,4188,3044,1983,10734,4194,70688,Alta,41,2021-03-31,4543,4622,14871,38702,85559,46857
4068,2632,2089,1223,5420,2404,31329,Media-Alta,42,2021-03-31,618,855,7459,19309,38788,19479
5719,4194,3214,1952,7794,3907,83368,Alta,43,2021-03-31,5231,4329,17170,36340,100538,64198
6560,4479,4072,1681,8863,4387,68702,Alta,44,2021-03-31,5841,4606,16690,40489,85392,44903
3560,2822,1859,925,6087,2668,31016,Media-Alta,45,2021-03-31,573,875,7783,19369,38799,19430
3701,2901,1918,1315,5504,2570,29089,Media-Alta,46,2021-03-31,599,865,8093,19373,37182,17809
2454,1544,1067,488,4398,1461,15571,Media-Baja,47,2021-03-31,243,542,4825,12197,20396,8199
2371,1468,1126,542,4135,1152,15088,Media-Baja,48,2021-03-31,201,553,4469,11548,19557,8009
2794,1790,826,422,5371,1557,16358,Media-Baja,49,2021-03-31,259,505,5131,13524,21489,7965
2757,1842,913,498,5188,1304,17385,Media-Baja,50,2021-03-31,248,558,5850,13308,23235,9927
1362,770,318,201,3490,598,9308,Baja,51,2021-03-31,180,156,729,7075,10037,2962
3869,3137,1949,889,5027,2617,34780,Media-Alta,52,2021-03-31,514,812,8010,18814,42790,23976
1350,877,350,183,3540,667,8648,Baja,53,2021-03-31,156,152,814,7275,9462,2187
4301,2797,2272,1134,7122,2251,31540,Media-Alta,54,2021-03-31,536,758,7919,21171,39459,18288
2674,1599,982,554,4062,1356,17288,Media-Baja,55,2021-03-31,273,543,5631,12043,22919,10876
1366,699,355,242,3669,630,8786,Baja,56,2021-03-31,151,160,997,7272,9783,2511
2642,1774,1078,447,4293,1034,15264,Media-Baja,57,2021-03-31,266,536,5200,12070,20464,8394
2437,1934,986,508,4766,1313,17038,Media-Baja,58,2021-03-31,238,430,5395,12612,22433,9821
3267,2609,2148,976,5103,2623,32994,Media-Alta,59,2021-03-31,526,809,8271,18061,41265,23204
2574,1528,1082,705,4757,1243,15421,Media-Baja,60,2021-03-31,271,512,4760,12672,20181,7509
2119,1599,1270,629,4631,1189,14745,Media-Baja,61,2021-03-31,267,428,4490,12132,19235,7103
3500,3109,2018,1132,5955,2431,27324,Media-Alta,62,2021-03-31,547,929,9688,19621,37012,17391
2619,1633,1098,536,5503,1370,14914,Media-Baja,63,2021-03-31,255,504,5160,13518,20074,6556
3811,2759,1797,946,5372,2835,25283,Media-Alta,64,2021-03-31,542,775,7899,18837,33182,14345
4831,2950,2476,998,7017,2081,32381,Media-Alta,65,2021-03-31,604,753,7840,21710,40221,18511
3528,3125,2062,1045,5080,2916,32663,Media-Alta,66,2021-03-31,501,796,7489,19053,40152,21099
4468,3298,2329,1094,6458,2392,29526,Media-Alta,67,2021-03-31,487,807,6179,21333,35705,14372
1275,751,349,213,4145,668,9537,Baja,69,2021-03-31,205,146,907,7752,10444,2692
2605,1808,1173,523,4418,1480,13851,Media-Baja,70,2021-03-31,222,504,4445,12733,18296,5563
5383,4079,3325,2073,8012,3521,66571,Alta,71,2021-03-31,5444,5241,21772,37078,88343,51265
1322,910,350,217,3524,668,8937,Baja,72,2021-03-31,153,140,840,7284,9777,2493
1438,774,444,219,3916,636,8798,Baja,73,2021-03-31,153,168,931,7748,9729,1981
2509,1434,1130,537,4675,906,15028,Media-Baja,74,2021-03-31,242,462,4691,11895,19719,7824
4201,2299,2235,855,6102,2875,29600,Media-Alta,75,2021-03-31,543,724,9539,19834,39139,19305
2811,1675,1043,481,4338,1127,15080,Media-Baja,76,2021-03-31,302,543,3810,12320,18890,6570
